Weekend_type_id;weekday_name;Weekday_id;Daytype_id
0;Monday;1;1
0;Tuesday;2;1
0;Wednesday;3;1
0;Thursday;4;1
0;Friday;5;1
0;Saturday;6;1
0;Sunday;7;1
1;Monday;1;1
1;Tuesday;2;1
1;Wednesday;3;1
1;Thursday;4;1
1;Friday;5;3
1;Saturday;6;1
1;Sunday;7;1
2;Monday;1;1
2;Tuesday;2;1
2;Wednesday;3;1
2;Thursday;4;1
2;Friday;5;2
2;Saturday;6;3
2;Sunday;7;1
3;Monday;1;1
3;Tuesday;2;1
3;Wednesday;3;1
3;Thursday;4;1
3;Friday;5;2
3;Saturday;6;2
3;Sunday;7;3
4;Monday;1;1
4;Tuesday;2;1
4;Wednesday;3;1
4;Thursday;4;1
4;Friday;5;1
4;Saturday;6;2
4;Sunday;7;3
5;Monday;1;1
5;Tuesday;2;1
5;Wednesday;3;1
5;Thursday;4;1
5;Friday;5;1
5;Saturday;6;1
5;Sunday;7;3
6;Monday;1;1
6;Tuesday;2;1
6;Wednesday;3;1
6;Thursday;4;2
6;Friday;5;3
6;Saturday;6;1
6;Sunday;7;1