lon, lat, elevation
-118.2934587054746,33.68534039596574,-28.86879337514468
-118.1258283055606,33.72899243356029,144.30097731157
-117.8992814738913,33.58086228838247,101.8050080404509
-117.711590359329,33.65389147739531,239.9349161594145
-117.7486707756029,33.80904715737764,276.5623818357782
-117.6733995459935,33.86287540949129,377.9827253934072
-117.5038931803304,33.86573898366371,353.0576795906845
-117.3688401484435,33.90464743087606,402.4574372860531
-117.2658387379095,34.0362017826091,404.8796680372194
-117.1620652749593,34.02459880400511,651.9502195110002
-117.0616949108123,34.08261850909256,868.4116333870403
-117.3187190371271,34.21721888707388,1085.978224743255
-117.4385638217356,34.18700470011984,726.721494902162
-117.7408254100929,34.16152608370261,843.4981934489011
-117.9651650533777,34.16443417929324,694.8200824545754
-118.2315229492884,34.25251592935634,1164.716396736667
-118.4480619732284,34.34598665150708,955.4447483124325
-118.6449229412859,34.28144884197307,446.6909801731967
-118.687774194992,34.1516025900722,350.386961812343
-118.3435281498299,34.12625243745394,273.111054065848
-118.5376991051386,34.00930710236582,115.7204802609331
-118.4280543930843,33.74999773419884,16.65172270172526
-118.2934587054746,33.68534039596574,-28.86879337514468 